domain,year,bins,model,best_param,train_rss,rmse_test,mean_logscore_test,sigma_train,n_curves,n_test_obs,boundary_hit
Gender-Science,2019,6,interference,124.29999999999987,6213.097835577828,22.067021838149483,-21818.22492866092,0.10563450334383487,138955,277910,False
Gender-Science,2019,6,cos_only,179.9999999999999,18459.118875126074,22.047682060885055,-7317.73709853634,0.18223688764544282,138955,277910,True
Gender-Science,2019,6,sin_only,179.9999999999999,13822.387909805839,22.045293672982286,-9770.901228981636,0.15769319510387228,138955,277910,True
Gender-Science,2019,6,poly2,,6230.458293625827,22.072500565975865,-21896.590255267554,0.1054714945597247,138955,277910,False
Gender-Science,2019,6,exp,10.100000000000009,13442.161761852007,22.044321546391476,-10046.743255811485,0.15550656396191095,138955,277910,False
Gender-Science,2019,6,power,0.05,14436.164654197037,22.045377180293002,-9393.391477411173,0.1608312083208565,138955,277910,True
Sexuality,2019,6,interference,119.7999999999999,10741.880390777027,25.014823211420897,-24196.632532033604,0.11370870449683913,207366,414732,False
Sexuality,2019,6,cos_only,180.0,27003.50816483891,24.99994560271842,-9598.293013692413,0.18043015140063295,207366,414732,True
Sexuality,2019,6,sin_only,179.9999999999999,22236.52015822747,24.99696820853918,-11653.657085793264,0.16372863017066833,207366,414732,True
Sexuality,2019,6,poly2,,10757.362080223516,25.019224790138352,-24275.490445976906,0.11354384698054351,207366,414732,False
Sexuality,2019,6,exp,8.149999999999999,21885.188828408303,24.996609909375316,-11840.572172427543,0.1624288956960513,207366,414732,False
Sexuality,2019,6,power,0.07,22587.7527500274,24.99766532673745,-11495.372940232737,0.1648565570506487,207366,414732,False
